('Five-SeveN | Case Hardened', '103', '2'),
('Five-SeveN | Case Hardened', '101', '2'),
('Five-SeveN | Case Hardened', '265', '2'),
('Five-SeveN | Case Hardened', '752', '2'),
('Five-SeveN | Case Hardened', '955', '2'),
('Five-SeveN | Case Hardened', '951', '2'),
('Five-SeveN | Case Hardened', '187', '2'),
('Five-SeveN | Case Hardened', '189', '2'),
('Five-SeveN | Case Hardened', '795', '2'),
('Five-SeveN | Case Hardened', '426', '2'),
('Five-SeveN | Case Hardened', '791', '2'),
('Five-SeveN | Case Hardened', '428', '2'),
('Five-SeveN | Case Hardened', '468', '2'),
('Five-SeveN | Case Hardened', '809', '2'),
('Five-SeveN | Case Hardened', '905', '2'),
('Five-SeveN | Case Hardened', '592', '2'),
('AK-47 | Case Hardened', '661', '1'),
('AK-47 | Case Hardened', '321', '1'),
('AK-47 | Case Hardened', '555', '1'),
('AK-47 | Case Hardened', '955', '1'),
('AK-47 | Case Hardened', '760', '1'),
('AK-47 | Case Hardened', '592', '1'),
('AK-47 | Case Hardened', '387', '1'),
('AK-47 | Case Hardened', '151', '1'),
('AK-47 | Case Hardened', '168', '1'),
('AK-47 | Case Hardened', '828', '1'),
('AK-47 | Case Hardened', '179', '1'),
('AK-47 | Case Hardened', '809', '1'),
('AK-47 | Case Hardened', '617', '1'),
('AK-47 | Case Hardened', '670', '1'),
('AK-47 | Case Hardened', '532', '2'),
('AK-47 | Case Hardened', '341', '2'),
('AK-47 | Case Hardened', '935', '2'),
('AK-47 | Case Hardened', '541', '2'),
('AK-47 | Case Hardened', '4', '2'),
('AK-47 | Case Hardened', '733', '2'),
('AK-47 | Case Hardened', '310', '2'),
('AK-47 | Case Hardened', '922', '2'),
('AK-47 | Case Hardened', '512', '2'),
('AK-47 | Case Hardened', '519', '2'),
('AK-47 | Case Hardened', '323', '2'),
('AK-47 | Case Hardened', '713', '2'),
('AK-47 | Case Hardened', '715', '2'),
('AK-47 | Case Hardened', '525', '2'),
('AK-47 | Case Hardened', '571', '2'),
('AK-47 | Case Hardened', '985', '2'),
('AK-47 | Case Hardened', '575', '2'),
('AK-47 | Case Hardened', '578', '2'),
('AK-47 | Case Hardened', '708', '2'),
('AK-47 | Case Hardened', '577', '2'),
('AK-47 | Case Hardened', '978', '2'),
('AK-47 | Case Hardened', '969', '2'),
('AK-47 | Case Hardened', '961', '2'),
('AK-47 | Case Hardened', '557', '2'),
('AK-47 | Case Hardened', '950', '2'),
('AK-47 | Case Hardened', '798', '2'),
('AK-47 | Case Hardened', '996', '2'),
('AK-47 | Case Hardened', '791', '2'),
('AK-47 | Case Hardened', '770', '2'),
('AK-47 | Case Hardened', '775', '2'),
('AK-47 | Case Hardened', '754', '2'),
('AK-47 | Case Hardened', '752', '2'),
('AK-47 | Case Hardened', '381', '2'),
('AK-47 | Case Hardened', '375', '2'),
('AK-47 | Case Hardened', '363', '2'),
('AK-47 | Case Hardened', '605', '2'),
('AK-47 | Case Hardened', '205', '2'),
('AK-47 | Case Hardened', '823', '2'),
('AK-47 | Case Hardened', '216', '2'),
('AK-47 | Case Hardened', '627', '2'),
('AK-47 | Case Hardened', '228', '2'),
('AK-47 | Case Hardened', '189', '2'),
('AK-47 | Case Hardened', '426', '2'),
('AK-47 | Case Hardened', '429', '2'),
('AK-47 | Case Hardened', '428', '2'),
('AK-47 | Case Hardened', '112', '2'),
('AK-47 | Case Hardened', '849', '2'),
('AK-47 | Case Hardened', '844', '2'),
('AK-47 | Case Hardened', '430', '2'),
('AK-47 | Case Hardened', '126', '2'),
('AK-47 | Case Hardened', '122', '2'),
('AK-47 | Case Hardened', '442', '2'),
('AK-47 | Case Hardened', '139', '2'),
('AK-47 | Case Hardened', '862', '2'),
('AK-47 | Case Hardened', '868', '2'),
('AK-47 | Case Hardened', '450', '2'),
('AK-47 | Case Hardened', '147', '2'),
('AK-47 | Case Hardened', '856', '2'),
('AK-47 | Case Hardened', '463', '2'),
('AK-47 | Case Hardened', '689', '2'),
('AK-47 | Case Hardened', '888', '2'),
('AK-47 | Case Hardened', '887', '2'),
('AK-47 | Case Hardened', '878', '2'),
('AK-47 | Case Hardened', '872', '2'),
('AK-47 | Case Hardened', '695', '2'),
('AK-47 | Case Hardened', '698', '2'),
('AK-47 | Case Hardened', '892', '2'),
('AK-47 | Case Hardened', '690', '2'),
('AK-47 | Case Hardened', '647', '2'),
('AK-47 | Case Hardened', '34', '2'),
('AK-47 | Case Hardened', '28', '2'),
('AK-47 | Case Hardened', '32', '2'),
('AK-47 | Case Hardened', '13', '2'),
('AK-47 | Case Hardened', '82', '2'),
('AK-47 | Case Hardened', '74', '2'),
('AK-47 | Case Hardened', '479', '2'),
('AK-47 | Case Hardened', '278', '2'),
('AK-47 | Case Hardened', '103', '2'),
('AK-47 | Case Hardened', '92', '2'),
('AK-47 | Case Hardened', '905', '2'),
('AK-47 | Case Hardened', '256', '2'),
('StatTrak™ ? Karambit | Case Hardened', '387', '1'),
('StatTrak™ ? Karambit | Case Hardened', '888', '1'),
('StatTrak™ ? Karambit | Case Hardened', '853', '1'),
('StatTrak™ ? Karambit | Case Hardened', '442', '1'),
('StatTrak™ ? Karambit | Case Hardened', '269', '1'),
('StatTrak™ ? Karambit | Case Hardened', '776', '1'),
('StatTrak™ ? Karambit | Case Hardened', '809', '1'),
('StatTrak™ ? Karambit | Case Hardened', '470', '1'),
('StatTrak™ ? Karambit | Case Hardened', '905', '1'),
('StatTrak™ ? Karambit | Case Hardened', '902', '1'),
('StatTrak™ ? Karambit | Case Hardened', '698', '1'),
